cloud,log_sigma_gas,log_sigma_sfr
Cygnus-X,3.2345,1.8965
Cygnus-X,3.2364,1.899
Cygnus-X,3.2383,1.904
Cygnus-X,3.2402,1.9091
Cygnus-X,3.2421,1.9141
Cygnus-X,3.2439,1.9141
Cygnus-X,3.2458,1.9167
Cygnus-X,3.2477,1.9192
Cygnus-X,3.2496,1.9242
Cygnus-X,3.2515,1.9242
Cygnus-X,3.2533,1.9268
Cygnus-X,3.2552,1.9293
Cygnus-X,3.2571,1.9217
Cygnus-X,3.259,1.9167
Cygnus-X,3.2609,1.9141
Cygnus-X,3.2627,1.9192
Cygnus-X,3.2646,1.9268
Cygnus-X,3.2665,1.9394
Cygnus-X,3.2684,1.952
Cygnus-X,3.2703,1.9571
Cygnus-X,3.2722,1.9571
Cygnus-X,3.274,1.952
Cygnus-X,3.2759,1.9495
Cygnus-X,3.2778,1.947
Cygnus-X,3.2797,1.9545
Cygnus-X,3.2816,1.9545
Cygnus-X,3.2834,1.952
Cygnus-X,3.2853,1.9495
Cygnus-X,3.2872,1.9343
Cygnus-X,3.2891,1.9343
Cygnus-X,3.291,1.9343
Cygnus-X,3.2928,1.9369
